name,type,lat,lon,country,source
Uudenmaan Puuenergia Oy,node,60.3096625,24.2483822,Finland,OpenStreetMap
"Pankaboard, Pankakosken tehtaat",way,63.3242911,30.1278569,Finland,OpenStreetMap
MammuttiHirsi Oy,way,65.0296256,25.9704559,Finland,OpenStreetMap
Akonkosken Saha,way,62.6267115,23.8182886,Finland,OpenStreetMap
Unknown,way,60.868673,26.7346685,Finland,OpenStreetMap
Keitele Timber Oy – Alajärven saha,way,63.0297648,23.6886074,Finland,OpenStreetMap
Unknown,way,66.0160314,29.1324977,Finland,OpenStreetMap
Unknown,way,62.6883708,23.8788085,Finland,OpenStreetMap
Kuhmo Oy,way,64.1328154,29.4874006,Finland,OpenStreetMap
"Junnikkala, Oulaisten saha",way,64.2805262,24.7629365,Finland,OpenStreetMap
"Metsä Fibre, Vilppulan saha",way,62.0087069,24.4732065,Finland,OpenStreetMap
Keitele Forest,way,63.1742453,26.3256495,Finland,OpenStreetMap
Mustola Timber Oy,way,61.0526761,28.3481251,Finland,OpenStreetMap
Kiepin saha,way,61.426451,26.8845303,Finland,OpenStreetMap
Kartiopuu-saha,way,60.9892888,27.9105117,Finland,OpenStreetMap
"Metsä Fibre, Rengon saha",way,60.886414,24.2668765,Finland,OpenStreetMap
Sastamalan Vaneri,way,61.3477515,22.8860254,Finland,OpenStreetMap
Unknown,way,66.65271,25.4446262,Finland,OpenStreetMap
Versowood,way,61.1050688,25.9415956,Finland,OpenStreetMap
Kuusisto Group,way,60.8848284,21.6821979,Finland,OpenStreetMap
Hoisko CLT Finland Oy,way,63.0292406,23.8589014,Finland,OpenStreetMap
Unknown,way,62.3114925,29.5956459,Finland,OpenStreetMap
Metsä-Saimaan saha,way,61.0874146,28.1612341,Finland,OpenStreetMap
Unknown,way,61.1181558,27.3363556,Finland,OpenStreetMap
Koskisen Oyj,way,60.8461211,25.3031068,Finland,OpenStreetMap
Varkauden saha,way,62.3161792,27.904984,Finland,OpenStreetMap
Unknown,way,60.1121979,20.0033836,Finland,OpenStreetMap
Unknown,way,61.345303,25.2381891,Finland,OpenStreetMap
Unknown,way,63.4089515,30.3758508,Finland,OpenStreetMap
Norin Saha Oy,way,62.5687621,22.0349291,Finland,OpenStreetMap
Metsä Wood,way,60.2532246,24.0539431,Finland,OpenStreetMap
Unknown,way,62.0086453,24.47332,Finland,OpenStreetMap
Unknown,way,61.2021494,24.5169574,Finland,OpenStreetMap
Viitala Forest,way,62.610759,22.9936554,Finland,OpenStreetMap
Unknown,way,63.3264162,22.7701103,Finland,OpenStreetMap
Unknown,way,60.3098064,24.248587,Finland,OpenStreetMap
Otavan saha,way,61.670121,27.0609891,Finland,OpenStreetMap
Unknown,way,66.2501756,28.2076843,Finland,OpenStreetMap
Puutavaran varastointialue,way,60.2370837,24.9115862,Finland,OpenStreetMap
Kinnaskoski Oy,way,61.991562,24.4799402,Finland,OpenStreetMap
UPM Alholman saha,way,63.7088038,22.7055468,Finland,OpenStreetMap
Versowood Riihimäki,way,60.7283271,24.7767993,Finland,OpenStreetMap
